"","","","","","","","","","","",""
"","","","","","","Orders","","","","",""
"","","","","","","","","","","",""
"#","Order#","Order Date","Customer","Store","Subtotal(Rs:)","Tax(Rs:)","Shipping Fee(Rs:)","Total Amount(Rs:)","Payment Method","Payment Status","Order Status"
"1","ORD-6900411","15-12-2023","Esakkimuthu","sheema agency","30.00","7.50","15.00","52.50","Cash on Delivery","Pending","Awaiting"
"2","ORD-2133161","15-12-2023","Guest User","sheema agency","240.00","60.00","5.00","305.00","Cash on Delivery","Pending","Awaiting"
"3","ORD-2177761","13-12-2023","anu","AnuGragha Foodie Stall","195.00","48.75","0.00","243.75","Cash on Delivery","Pending","Awaiting"
"4","ORD-3545781","13-12-2023","anu","Krishiv Fish Stall","400.00","80.00","0.00","480.00","Cash on Delivery","Pending","Awaiting"
"5","ORD-4828423","13-12-2023","anu","AnuGragha Foodie Stall","100.00","25.00","0.00","125.00","Cash on Delivery","Pending","Awaiting"
"6","ORD-7840052","13-12-2023","anu","Siva Python Coffee Shop","50.00","12.50","0.00","62.50","Cash on Delivery","Pending","Awaiting"
"7","ORD-1743781","13-12-2023","anu","Siva Python Coffee Shop","240.00","60.00","0.00","300.00","Cash on Delivery","Pending","Awaiting"
"8","ORD-2387941","13-12-2023","AnuGragha","AnuGragha Foodie Stall","325.00","81.25","10.00","416.25","Cash on Delivery","Pending","Awaiting"
"9","ORD-4997591","21-11-2023","Admin","AnuGragha Foodie Stall","25.00","6.25","0.00","31.25","Cash on Delivery","Pending","Awaiting"
"10","ORD-2680982","21-11-2023","Admin","Divya Madam Kadai","274.00","68.50","0.00","342.50","Cash on Delivery","Completed","Completed"
"11","ORD-8892981","21-11-2023","Admin","AnuGragha Foodie Stall","10.00","2.50","0.00","12.50","Cash on Delivery","Pending","Awaiting"
"12","ORD-9695761","15-11-2023","Admin","AnuGragha Foodie Stall","170.00","42.50","0.00","212.50","Cash on Delivery","Pending","Awaiting"
"13","ORD-8913221","15-11-2023","Guest User","Siva Python Coffee Shop","50.00","12.50","0.00","62.50","Cash on Delivery","Pending","Awaiting"
"14","ORD-8064721","15-11-2023","Admin","AnuGragha Foodie Stall","10.00","2.50","0.00","12.50","Cash on Delivery","Pending","Awaiting"
"15","ORD-6647971","15-11-2023","Admin","Siva Python Coffee Shop","50.00","12.50","5.00","67.50","Cash on Delivery","Pending","Awaiting"
"16","ORD-7669231","15-11-2023","Admin","Siva Python Coffee Shop","50.00","12.50","0.00","62.50","Cash on Delivery","Pending","Awaiting"
"17","ORD-2391251","15-11-2023","Admin","AnuGragha Foodie Stall","170.00","42.50","5.00","217.50","Cash on Delivery","Pending","Awaiting"
"18","ORD-4811201","15-11-2023","Admin","AnuGragha Foodie Stall","340.00","85.00","0.00","425.00","Cash on Delivery","Pending","Awaiting"
"19","ORD-5621281","04-11-2023","anu","Krishiv Fish Stall","50.00","12.50","15.00","77.50","Cash on Delivery","Completed","Completed"
"20","ORD-6818711","31-10-2023","Admin","AnuGragha Foodie Stall","170.00","42.50","15.00","227.50","Cash on Delivery","Completed","Completed"
"21","ORD-7987441","31-10-2023","Admin","AnuGragha Foodie Stall","100.00","25.00","15.00","140.00","Cash on Delivery","Completed","Completed"
"22","ORD-3744971","30-10-2023","Guest User","Krishiv Fish Stall","800.00","160.00","15.00","975.00","Cash on Delivery","Pending","Awaiting"
"23","ORD-6408841","29-10-2023","Guest User","Krishiv Fish Stall","400.00","80.00","0.00","480.00","Cash on Delivery","Pending","Awaiting"
"24","ORD-1426072","29-10-2023","Guest User","Siva Python Coffee Shop","50.00","12.50","0.00","62.50","Cash on Delivery","Pending","Awaiting"
"25","ORD-1069851","29-10-2023","Guest User","Krishiv Fish Stall","400.00","100.00","0.00","500.00","Cash on Delivery","Pending","Awaiting"
"26","ORD-5778641","27-10-2023","anna","Krishiv Fish Stall","400.00","100.00","0.00","500.00","Cash on Delivery","Completed","Completed"
"27","ORD-2566431","21-10-2023","Guest User","AnuGragha Foodie Stall","370.00","92.50","10.00","472.50","Cash on Delivery","Pending","Awaiting"
"28","ORD-4005101","12-10-2023","Sathish","AnuGragha Foodie Stall","3,400.00","850.00","15.00","4,265.00","Cash on Delivery","Completed","Completed"
"29","ORD-2770821","12-10-2023","Admin","AnuGragha Foodie Stall","80.00","20.00","15.00","115.00","Cash on Delivery","Completed","Completed"
"30","ORD-9490961","12-10-2023","Admin","AnuGragha Foodie Stall","20.00","5.00","15.00","40.00","Cash on Delivery","Completed","Completed"
"31","ORD-2562762","11-10-2023","dinesh","Divya Madam Kadai","130.00","32.50","15.00","177.50","Cash on Delivery","Pending","Awaiting"
"32","ORD-9084091","11-10-2023","dinesh","AnuGragha Foodie Stall","195.00","48.75","15.00","258.75","Cash on Delivery","Completed","Completed"
"33","ORD-7293411","09-10-2023","Admin","AnuGragha Foodie Stall","25.00","6.25","15.00","46.25","Cash on Delivery","Completed","Completed"
"34","ORD-9330521","09-10-2023","Admin","AnuGragha Foodie Stall","100.00","5.00","0.00","105.00","Cash on Delivery","Completed","Completed"
